indicador,region,rank_2025,score_2025,rank_2024,score_2024,rank_2019,score_2019
Generación total de residuos sólidos municipales ajustados por PBI,Loreto,23,15.5,23,16.3,23,18.7
Degradación de ecosistemas,Loreto,14,13.1,14,13.1,13,11.6
Disposición adecuada de residuos,Loreto,21,47,21,47,4,65.2
Tratamiento de aguas residuales,Madre de Dios,20,0,20,0,20,0
Calidad del aire,Madre de Dios,25,36.4,25,36.4,25,33.1
Acceso a agua segura,Madre de Dios,2,72.2,2,96.2,3,67.7
Consumo de energías limpias,Madre de Dios,15,86.5,13,86,13,83.3
Generación total de residuos sólidos municipales ajustados por PBI,Madre de Dios,22,15.4,22,16.1,15,11.5
Degradación de ecosistemas,Madre de Dios,16,21.1,16,21.1,16,18.5
Disposición adecuada de residuos,Madre de Dios,25,13.9,25,13.9,8,57.5
Tratamiento de aguas residuales,Moquegua,5,95.1,3,97.8,3,94.7
Calidad del aire,Moquegua,3,15.4,3,15.4,3,12.5
Acceso a agua segura,Moquegua,4,52.1,3,55,5,61.3
Consumo de energías limpias,Moquegua,8,90.3,6,92.5,8,88.5
Generación total de residuos sólidos municipales ajustados por PBI,Moquegua,1,2.6,1,3,1,4.3
Degradación de ecosistemas,Moquegua,6,1.4,6,1.4,6,1.8
Disposición adecuada de residuos,Moquegua,5,81,5,81,18,42.5
Tratamiento de aguas residuales,Pasco,20,0,20,0,20,0
Calidad del aire,Pasco,22,27.3,22,27.3,21,28.6
Acceso a agua segura,Pasco,25,4.6,25,4.1,25,4.8
Consumo de energías limpias,Pasco,9,89.9,9,89.5,14,83.3
Generación total de residuos sólidos municipales ajustados por PBI,Pasco,3,4,3,4.7,2,6.6
Degradación de ecosistemas,Pasco,21,33.3,21,33.3,21,30.8
Disposición adecuada de residuos,Pasco,9,73.7,9,73.7,10,52.2
Tratamiento de aguas residuales,Piura,10,76.6,10,76.5,7,75.7
Calidad del aire,Piura,7,19.9,7,19.9,8,18
Acceso a agua segura,Piura,24,6.3,23,8.9,14,24.2
Consumo de energías limpias,Piura,16,85,16,81.4,16,79.6
Generación total de residuos sólidos municipales ajustados por PBI,Piura,18,10.9,16,11,20,14.6
Degradación de ecosistemas,Piura,9,6.5,9,6.5,11,10.2
Disposición adecuada de residuos,Piura,17,61.8,17,61.8,24,27.5
Tratamiento de aguas residuales,Puno,7,86,7,91.3,11,58.3
Calidad del aire,Puno,8,20.2,8,20.2,4,17.2
